"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
CI-0011186,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Windsor,Ontario,
CI-0024701,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Kanata,Ontario,
CI-0069415,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Small Business,Surrey,British Columbia,
CI-0072191,TELUS Communications Inc.,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Vancouver,British Columbia,
CI-0072191,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Vancouver,British Columbia,
CI-0072191,TELUS Communications Inc.,TV,Credit Management,3rd party credit reporting,,Consumer,Vancouver,British Columbia,
CI-0091970,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Calgary,Alberta,
CI-0091970,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Calgary,Alberta,
CI-0074693,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,NDIP,Quebec,
CI-0058297,Bell Canada,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Credit/refund not received,Small Business,Brampton,Ontario,
CI-0058297,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Brampton,Ontario,
CI-0058297,Bell Canada,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Brampton,Ontario,
CI-0059114,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Edmonton,Alberta,
CI-0040785,Fido,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0002232,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Montréal,Quebec,
CI-0002232,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Montréal,Quebec,
CI-0064765,Virgin Plus,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Québec ,Quebec,
CI-0064765,Virgin Plus,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Québec ,Quebec,
CI-0051822,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Cambridge,Ontario,
CI-0003916,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Toronto,Ontario,
CI-0008296,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Richmond Hill,Ontario,
CI-0008296,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Small Business,Richmond Hill,Ontario,
CI-0067827,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Small Business,Langley Township,British Columbia,
CI-0083187,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Calgary,Alberta,
CI-0083187,TELUS Communications Inc.,Long distance services (including prepaid calling cards),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Small Business,Calgary,Alberta,
CI-0036334,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Lethbridge,Alberta,
CI-0036334,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Lethbridge,Alberta,
CI-0036334,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Lethbridge,Alberta,
CI-0036334,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Lethbridge,Alberta,
CI-0036334,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Lethbridge,Alberta,
CI-0005786,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Pointe-à-Tom ,New Brunswick,
CI-0026570,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Toronto ,Ontario,
CI-0072681,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,"ETOBICOKE, Ontario",Ontario,
CI-0072681,Rogers Communications,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Credit/refund not received,Consumer,"ETOBICOKE, Ontario",Ontario,
CI-0011057,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Coquitlam,British Columbia,
CI-0011057,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Coquitlam,British Columbia,
CI-0000532,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,orleans,Ontario,
CI-0086527-PF,Rogers Communications,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Lameque,New Brunswick,
CI-0086705,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Sarnia ,Ontario,
CI-0046010,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Surrey,British Columbia,
CI-0051150,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Small Business,Whitby,Ontario,
CI-0029839,Vidéotron,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Donnacona,Quebec,
CI-0022617,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Edmonton,Alberta,
CI-0084181,Bell Canada,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Richmond Hill,Ontario,
CI-0024479,Bell Canada,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Toronto,Ontario,
CI-0031372,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga,Ontario,
CI-0035077,Fizz,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Orleans,Ontario,
CI-0035077,Fizz,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Orleans,Ontario,
CI-0029714,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Ottawa,Ontario,
CI-0009994,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Montreal,Quebec,
CI-0051043,Rogers Communications,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Conception Bay South,Newfoundland and Labrador,
CI-0004982,Fido,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Peterborough,Ontario,
CI-0008265,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Richmond,British Columbia,
CI-0089908,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Richmond,British Columbia,
CI-0079115,Cogeco Connexion (Ontario),Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Peterborough,Ontario,
CI-0033264,Bell Canada,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Brampton ,Ontario,
CI-0054590,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Blainville,Quebec,
CI-0004864,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0071993-PT,Vidéotron,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Pierrefonds,Quebec,
CI-0071993-PT,Vidéotron,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Pierrefonds,Quebec,
CI-0071993-PT,Vidéotron,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Pierrefonds,Quebec,
CI-0071993-PT,Vidéotron,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Pierrefonds,Quebec,
CI-0019313,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Vancouver,British Columbia,
CI-0007811,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Edmonton,Alberta,
CI-0075829,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Etobicoke,Ontario,
CI-0024786,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Maple Ridge,British Columbia,
CI-0010127,EBOX,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vaudreuil-Dorion,Quebec,
CI-0010127,EBOX,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Vaudreuil-Dorion,Quebec,
CI-0032451,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,GUELPH,Ontario,
CI-0092810,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mission,British Columbia,
CI-0092810,Koodo,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Mission,British Columbia,
CI-0022467,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Milton,Ontario,
CI-0069108,Fido,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,North York,Ontario,
CI-0032731,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Edmonton ,Alberta,
CI-0046454,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Small Business,Waterloo,Ontario,
CI-0018799,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Gilford,Ontario,
CI-0018799,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Gilford,Ontario,
CI-0081115,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Ottawa,Ontario,
CI-0062681,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Linden,Alberta,
CI-0063523,Koodo,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Pickering,Ontario,
CI-0035966,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Surrey,British Columbia,
CI-0040440,Shaw,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Victoria,British Columbia,
CI-0001813,Rogers Communications,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Richmond Hill,Ontario,
CI-0057602,Freedom Mobile Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Mission,British Columbia,
CI-0089586,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0080640,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Small Business,Thornhill,Ontario,
CI-0083293,Koodo,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Bothwell,Ontario,
CI-0019249,Fido,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Richmond,British Columbia,
CI-0000481,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vaughan,Ontario,
CI-0047407,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Longueuil,Quebec,
CI-0040981,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Small Business,McLure,British Columbia,
CI-0040981,Bell Canada,Operator Services,Service Delivery,Service not working,Complete loss of service,Small Business,McLure,British Columbia,
CI-0096959,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Warburg,Alberta,
CI-0061651,Cogeco Connexion (Quebec),Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Salaberry-de-Valleyfield,Quebec,
CI-0055092,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Etobicoke,Ontario,
CI-0021157,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Mississauga,Ontario,
CI-0070727,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Pembroke ,Ontario,
CI-0009318,Virgin Plus,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Petite-Rivière-Saint-François,Quebec,
CI-0031585,Virgin Plus,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0099310,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Burnaby,British Columbia,
CI-0019445,Koodo,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,St. Catharines,Ontario,
CI-0088363,Koodo,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Waterloo,Ontario,
CI-0090568,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,West Vancouver,British Columbia,
CI-0014527,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Mclure,British Columbia,
CI-0010566,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vancouver,British Columbia,
CI-0056663,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Small Business,Scarborough,Ontario,
CI-0095316,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Victoria ,British Columbia,
CI-0022450,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Ottawa,Ontario,
CI-0000083,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Milton,Ontario,
CI-0063851,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Toronto,Ontario,
CI-0085922,Shaw,TV,Service Delivery,Service not working,Intermittent service,Consumer,Victoria,British Columbia,
CI-0075247,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Vancouver,British Columbia,
CI-0075247,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Vancouver,British Columbia,
CI-0003387,Shaw,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Langley,British Columbia,
CI-0017030,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Burnaby,British Columbia,
CI-0011404,Bell Canada,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Coronation,Alberta,
CI-0064878,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Mississauga,Ontario,
CI-0035262,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,oshawa,Ontario,
CI-0064629,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Kitchener ,Ontario,
CI-0096784,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0096784,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0096784,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0093101,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,conception bay south,Newfoundland and Labrador,
CI-0004062,Altima Telecom,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Montréal,Quebec,
CI-0052308,Bell MTS,TV,Service Delivery,Service not working,Intermittent service,Consumer,Winnipeg ,Manitoba,
CI-0005890,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Bois-des-Filion,Quebec,
CI-0005890,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Bois-des-Filion,Quebec,
CI-0029763,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Abbotsford,British Columbia,
CI-0029763,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Abbotsford,British Columbia,
CI-0029763,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Abbotsford,British Columbia,
CI-0086607,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Cochrane,Alberta,
CI-0040264,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Victoria,British Columbia,
CI-0010185,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0025215,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,North York,Ontario,
CI-0043687,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,markham ,Ontario,
CI-0079084,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Lasalle,Quebec,
CI-0016508,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Milton,Ontario,
CI-0042282,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,scarborough,Ontario,
CI-0042282,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,scarborough,Ontario,
CI-0061575,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Calgary,Alberta,
CI-0080947,Access Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Small Business,Stoughton,Saskatchewan,
CI-0080947,Access Communications,TV,Billing,Reoccurring charges,Incorrect Charge,Small Business,Stoughton,Saskatchewan,
CI-0080947,Access Communications,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Small Business,Stoughton,Saskatchewan,
CI-0080947,Access Communications,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Small Business,Stoughton,Saskatchewan,
CI-0053221,Virgin Plus,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Waterloo,Ontario,
CI-0003608,Cogeco Connexion (Ontario),TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Brockville,Ontario,
CI-0018089,Primus,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,London,Ontario,
CI-0029099,Bell Canada,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Montreal,Quebec,
CI-0024416,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Guelph,Ontario,
CI-0009343,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,West Vancouver,British Columbia,
CI-0047689,Freedom Mobile Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Victoria,British Columbia,
CI-0047689,Freedom Mobile Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Victoria,British Columbia,
CI-0004637,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Winnipeg,Manitoba,
CI-0004637,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Winnipeg,Manitoba,
CI-0084718,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Mclure ,British Columbia,
CI-0016810,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,calgary,Alberta,
CI-0076626,Rogers Communications,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Etobicoke ,Ontario,
CI-0076626,Rogers Communications,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Etobicoke ,Ontario,
CI-0064974,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Delta,British Columbia,
CI-0021834,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Brampton,Ontario,
CI-0021834,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Brampton,Ontario,
CI-0089602,Vidéotron,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,st jerome,Quebec,
CI-0048556,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Medicine Hat,Alberta,
CI-0072954-PT,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Vancouver,British Columbia,
CI-0072954-PT,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Vancouver,British Columbia,
CI-0099080,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Saskatoon ,Saskatchewan,
CI-0053638,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Winnipeg,Manitoba,
CI-0048053,Cogeco Connexion (Ontario),Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Kemptville,Ontario,
CI-0062078,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Vancouver ,British Columbia,
CI-0073895,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Peterborough,Ontario,
CI-0067800,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Richmond,British Columbia,
CI-0026173,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Gander,Newfoundland and Labrador,
CI-0008033,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,London,Ontario,
CI-0002191,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,North York,Ontario,
CI-0010914,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Saskatoon,Saskatchewan,
CI-0089372,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Pickering,Ontario,
CI-0089372,TELUS Communications Inc.,Long distance services (including prepaid calling cards),Service Delivery,Service not working,Repair issues and appointments,Consumer,Pickering,Ontario,
CI-0089372,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Pickering,Ontario,
CI-0041164,Public Mobile,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Toronto,Ontario,
CI-0037802,Altima Telecom,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Laval,Quebec,
CI-0042871,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Chestermere,Alberta,
CI-0042871,Rogers Communications,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Chestermere,Alberta,
CI-0067160,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Maple,Ontario,
CI-0034198,Phonebox,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Winnipeg,Manitoba,
CI-0059558,Eastlink,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Aylmer,Ontario,
CI-0059558,Eastlink,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Aylmer,Ontario,
CI-0031554,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Calgary,Alberta,
CI-0080562,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Qualicum Beach,British Columbia,
CI-0059594,Rogers Communications,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Whitby,Ontario,
CI-0093401,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,bedford,Quebec,
CI-0050991-PT,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Regina,Saskatchewan,
CI-0019503,Xplore,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Grassie,Ontario,
CI-0056889,TELUS Communications Inc.,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Edmonton,Alberta,
CI-0022981,Rogers Communications,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Small Business,Vaughan,Ontario,
CI-0022981,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Vaughan,Ontario,
CI-0091932,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Mississauga,Ontario,
CI-0061404,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,North York,Ontario,
CI-0023052,Vidéotron,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Laval,Quebec,
CI-0023052,Vidéotron,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Laval,Quebec,
CI-0035790,Shaw Direct,TV,Service Delivery,Service not working,Intermittent service,Consumer,Niagara Falls,Ontario,
CI-0042256,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Ottawa,Ontario,
CI-0084478,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0093166,Eastlink,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Berwick,Nova Scotia,
CI-0032618,TELUS Communications Inc.,TV,Service Delivery,Service not working,Intermittent service,Consumer,Rimouski,Quebec,
CI-0075417,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Port Moody,British Columbia,
CI-0075417,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Port Moody,British Columbia,
CI-0037456,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Toronto,Ontario,
